(51.76086, -1.261764) 
(51.760857, -1.261791) 
(51.760848, -1.261816) 
(51.760834, -1.261837) 
(51.760817, -1.261849) 
(51.760796, -1.261855) 
(51.760781, -1.261854) 
(51.760763, -1.26185) 
(51.760744, -1.261843) 
(51.760725, -1.261834) 
(51.76069, -1.26185) 
(51.760669, -1.261837) 
(51.760658, -1.26183) 
(51.760636, -1.261817) 
(51.760614, -1.261801) 
(51.760603, -1.261794) 
(51.76058, -1.261778) 
(51.760568, -1.26177) 
(51.760545, -1.261754) 
(51.760533, -1.261746) 
(51.760524, -1.261702) 
(51.760501, -1.261683) 
(51.760489, -1.261675) 
(51.760465, -1.261658) 
(51.760453, -1.261647) 
(51.760428, -1.261638) 
(51.760416, -1.26163) 
(51.760378, -1.261642) 
(51.760366, -1.261635) 
(51.760334, -1.26163) 
(51.760311, -1.261615) 
(51.7603, -1.261608) 
(51.760302, -1.261558) 
(51.760291, -1.261552) 
(51.760263, -1.261548) 
(51.760233, -1.261569) 
(51.76023, -1.261529) 
(51.760209, -1.261517) 
(51.760199, -1.26151) 
(51.760178, -1.261498) 
(51.760156, -1.26149) 
(51.760135, -1.26148) 
(51.760121, -1.261454) 
(51.760105, -1.261444) 
(51.760084, -1.261433) 
(51.760066, -1.261422) 
(51.76001, -1.261432) 
(51.75999, -1.261421) 
(51.759969, -1.26141) 
(51.759986, -1.261382) 
(51.759975, -1.261374) 
(51.759952, -1.261362) 
(51.759943, -1.261362) 
(51.759921, -1.26135) 
(51.759911, -1.261346) 
(51.759884, -1.261335) 
(51.759862, -1.261326) 
(51.759844, -1.261322) 
(51.759827, -1.261309) 
(51.759818, -1.2613) 
(51.759794, -1.261291) 
(51.759783, -1.261291) 
(51.759752, -1.261289) 
(51.759735, -1.261275) 
(51.759724, -1.261267) 
(51.759705, -1.261252) 
(51.759691, -1.261248) 
(51.759669, -1.261234) 
(51.75966, -1.261226) 
(51.759634, -1.26122) 
(51.759609, -1.261206) 
(51.759597, -1.261196) 
(51.759587, -1.261159) 
(51.759574, -1.261147) 
(51.759538, -1.261155) 
(51.759519, -1.261162) 
(51.759497, -1.261146) 
(51.759485, -1.261135) 
(51.759454, -1.261129) 
(51.759432, -1.261117) 
(51.759418, -1.261111) 
(51.759373, -1.261088) 
(51.75936, -1.261082) 
(51.759333, -1.261067) 
(51.759342, -1.261065) 
(51.759317, -1.261046) 
(51.759302, -1.261032) 
(51.759289, -1.261028) 
(51.759275, -1.261024) 
(51.759244, -1.26101) 
(51.759229, -1.261008) 
(51.759216, -1.261004) 
(51.759207, -1.260991) 
(51.759181, -1.260974) 
(51.759167, -1.260962) 
(51.759154, -1.260954) 
(51.759132, -1.26096) 
(51.759101, -1.260944) 
(51.759087, -1.260936) 
(51.759073, -1.260928) 
(51.759057, -1.26092) 
(51.759031, -1.260901) 
(51.759016, -1.260891) 
(51.759005, -1.260881) 
(51.758975, -1.260884) 
(51.758946, -1.260865) 
(51.758931, -1.260856) 
(51.758917, -1.260847) 
(51.758902, -1.260839) 
(51.758872, -1.260814) 
(51.758857, -1.260802) 
(51.758843, -1.26079) 
(51.758828, -1.260779) 
(51.758799, -1.260749) 
(51.758784, -1.260744) 
(51.758769, -1.26073) 
(51.758755, -1.260714) 
(51.758724, -1.26069) 
(51.758709, -1.260673) 
(51.758694, -1.260657) 
(51.758679, -1.260656) 
(51.75865, -1.260629) 
(51.758637, -1.260617) 
(51.758622, -1.260606) 
(51.758607, -1.260593) 
(51.758575, -1.260574) 
(51.758561, -1.260562) 
(51.758547, -1.260548) 
(51.758538, -1.260526) 
(51.758504, -1.260512) 
(51.758489, -1.2605) 
(51.758485, -1.260473) 
(51.758463, -1.260477) 
(51.758436, -1.260455) 
(51.758421, -1.260444) 
(51.758409, -1.260434) 
(51.758407, -1.260404) 
(51.758381, -1.260382) 
(51.758368, -1.260374) 
(51.758356, -1.260361) 
(51.758343, -1.260353) 
(51.758319, -1.260331) 
(51.758306, -1.260319) 
(51.758282, -1.260305) 
(51.758259, -1.260297) 
(51.758247, -1.260289) 
(51.758225, -1.260273) 
(51.758205, -1.260258) 
(51.758185, -1.260245) 
(51.758171, -1.260236) 
(51.758157, -1.260221) 
(51.758146, -1.260209) 
(51.758129, -1.260187) 
(51.758114, -1.260146) 
(51.758104, -1.260114) 
(51.758101, -1.260088) 
(51.758101, -1.260063) 
(51.758108, -1.26003) 
(51.758119, -1.260007) 
(51.758129, -1.259995) 
(51.758142, -1.259986) 
(51.758157, -1.25998) 
(51.758183, -1.259972) 
(51.758197, -1.259979) 
(51.758207, -1.259978) 
(51.758228, -1.259976) 
(51.758248, -1.259974) 
(51.75825, -1.259987) 
(51.758296, -1.259964) 
(51.758307, -1.259965) 
