(51.760834, -1.261809) 
(51.760817, -1.261828) 
(51.760796, -1.261835) 
(51.760779, -1.261836) 
(51.760761, -1.261833) 
(51.760744, -1.261828) 
(51.760725, -1.261818) 
(51.760707, -1.261807) 
(51.760687, -1.261796) 
(51.760668, -1.261785) 
(51.76065, -1.261774) 
(51.760641, -1.261768) 
(51.760624, -1.261756) 
(51.760605, -1.261743) 
(51.760586, -1.26173) 
(51.760567, -1.261712) 
(51.760548, -1.261701) 
(51.76053, -1.26169) 
(51.760513, -1.26168) 
(51.760495, -1.261667) 
(51.760478, -1.261655) 
(51.760461, -1.261646) 
(51.760444, -1.261634) 
(51.760426, -1.261627) 
(51.760407, -1.261614) 
(51.760388, -1.261602) 
(51.760374, -1.261579) 
(51.760364, -1.261573) 
(51.760344, -1.261561) 
(51.760318, -1.261561) 
(51.760299, -1.261549) 
(51.76028, -1.26154) 
(51.760262, -1.26153) 
(51.760245, -1.261519) 
(51.76023, -1.26151) 
(51.760214, -1.2615) 
(51.760191, -1.261488) 
(51.760183, -1.261475) 
(51.760162, -1.261465) 
(51.760148, -1.261457) 
(51.760127, -1.261458) 
(51.760118, -1.26142) 
(51.760098, -1.261412) 
(51.760078, -1.261402) 
(51.760067, -1.261394) 
(51.760055, -1.261382) 
(51.760036, -1.261372) 
(51.760015, -1.26136) 
(51.76, -1.261351) 
(51.759983, -1.261345) 
(51.759963, -1.261334) 
(51.759948, -1.261331) 
(51.759904, -1.261328) 
(51.759891, -1.26131) 
(51.759869, -1.261302) 
(51.759857, -1.261295) 
(51.759838, -1.261277) 
(51.759834, -1.261269) 
(51.759814, -1.261262) 
(51.759781, -1.261255) 
(51.75976, -1.261247) 
(51.759747, -1.261243) 
(51.759725, -1.261234) 
(51.759702, -1.261223) 
(51.759687, -1.261225) 
(51.759669, -1.261198) 
(51.759655, -1.261191) 
(51.759633, -1.261196) 
(51.759616, -1.261192) 
(51.759586, -1.261188) 
(51.759571, -1.261181) 
(51.759554, -1.261176) 
(51.759547, -1.261156) 
(51.75952, -1.261128) 
(51.759503, -1.261125) 
(51.759492, -1.261114) 
(51.759482, -1.261112) 
(51.759451, -1.26109) 
(51.759436, -1.261083) 
(51.759421, -1.261076) 
(51.759404, -1.261073) 
(51.759376, -1.261055) 
(51.759361, -1.26105) 
(51.759345, -1.261042) 
(51.759331, -1.261033) 
(51.7593, -1.261023) 
(51.759285, -1.261013) 
(51.759268, -1.261007) 
(51.759254, -1.260999) 
(51.759224, -1.260983) 
(51.759211, -1.260972) 
(51.759196, -1.260963) 
(51.759182, -1.260953) 
(51.759152, -1.260935) 
(51.75914, -1.260923) 
(51.759123, -1.260917) 
(51.759112, -1.260903) 
(51.759083, -1.260886) 
(51.759064, -1.260881) 
(51.759046, -1.260872) 
(51.759033, -1.26086) 
(51.759008, -1.260834) 
(51.758991, -1.260828) 
(51.758975, -1.260817) 
(51.758962, -1.260801) 
(51.758927, -1.260789) 
(51.758914, -1.260777) 
(51.758898, -1.260769) 
(51.758884, -1.260757) 
(51.758852, -1.260738) 
(51.758839, -1.260722) 
(51.758829, -1.260704) 
(51.758815, -1.26069) 
(51.758782, -1.260671) 
(51.758765, -1.260661) 
(51.758749, -1.260652) 
(51.758733, -1.260639) 
(51.758701, -1.260616) 
(51.758683, -1.260606) 
(51.758669, -1.260591) 
(51.75866, -1.260567) 
(51.758632, -1.260539) 
(51.758602, -1.260512) 
(51.758587, -1.2605) 
(51.758572, -1.260488) 
(51.758541, -1.260465) 
(51.758526, -1.260454) 
(51.758511, -1.260442) 
(51.75848, -1.260421) 
(51.758465, -1.26041) 
(51.75845, -1.260399) 
(51.758434, -1.26039) 
(51.758403, -1.260371) 
(51.758388, -1.26036) 
(51.758361, -1.260332) 
(51.758347, -1.260323) 
(51.758331, -1.260316) 
(51.75832, -1.260296) 
(51.758299, -1.260268) 
(51.758276, -1.260277) 
(51.758263, -1.260268) 
(51.758237, -1.260257) 
(51.758228, -1.260249) 
(51.758205, -1.260244) 
(51.758188, -1.260227) 
(51.75817, -1.26021) 
(51.758154, -1.260196) 
(51.75814, -1.260178) 
(51.758122, -1.260152) 
(51.758108, -1.260127) 
(51.758102, -1.260093) 
(51.758102, -1.260063) 
(51.758106, -1.260043) 
(51.758125, -1.260003) 
(51.758143, -1.259982) 
(51.758158, -1.259968) 
(51.758182, -1.259959) 
(51.758193, -1.259967) 
(51.758207, -1.259964) 
(51.758222, -1.259964) 
(51.758254, -1.259964) 
(51.758273, -1.259964) 
(51.75829, -1.259978) 
(51.75831, -1.259961) 
(51.758345, -1.25997) 
(51.758347, -1.260007) 
(51.75838, -1.259971) 
(51.758393, -1.259981) 
(51.758432, -1.259968) 
(51.758451, -1.259967) 
(51.758464, -1.259973) 
(51.758479, -1.259969) 
(51.758522, -1.259973) 
(51.758534, -1.259962) 
(51.758552, -1.259961) 
(51.758556, -1.25993) 
(51.758608, -1.25996) 
(51.758624, -1.259963) 
(51.758636, -1.259961) 
(51.758655, -1.259974) 
(51.758677, -1.259978) 
(51.758689, -1.259977) 
(51.758709, -1.259975) 
(51.758718, -1.25992) 
(51.758753, -1.259919) 
(51.758791, -1.25997) 
(51.758809, -1.259974) 
(51.758824, -1.259971) 
(51.758858, -1.25998) 
(51.758873, -1.259979) 
(51.758889, -1.259975) 
